"","Date","Open","High","Low","Close","Adj.Close","Volume","Price","Price_1","Price_2","Price_3","Price_4","Price_5","SMA_5","SMA_10","SMA_50","tr","tr2","tr3","tr4","tr5"
"1260",2018-04-30,7133.950195,7169.799805,7065.410156,7066.27002,7066.27002,1987020000,7066.27002,0,0,0,0,0,0,0,0,7119.799805,7118.680176,7003.740234,7007.350098,7128.600098
"1259",2018-04-27,7195.52002,7197.149902,7083.950195,7119.799805,7119.799805,2027530000,7119.799805,7066.27002,0,0,0,0,0,0,0,7118.680176,7003.740234,7007.350098,7128.600098,7146.129883
"1258",2018-04-26,7080.490234,7143.939941,7055.660156,7118.680176,7118.680176,2127140000,7118.680176,7119.799805,7066.27002,0,0,0,0,0,0,7003.740234,7007.350098,7128.600098,7146.129883,7238.060059
"1257",2018-04-25,7009.990234,7030.740234,6926.970215,7003.740234,7003.740234,2026690000,7003.740234,7118.680176,7119.799805,7066.27002,0,0,0,0,0,7007.350098,7128.600098,7146.129883,7238.060059,7295.240234
"1256",2018-04-24,7160.77002,7171.669922,6961.52002,7007.350098,7007.350098,2149250000,7007.350098,7003.740234,7118.680176,7119.799805,7066.27002,0,7063.1680666,0,0,7128.600098,7146.129883,7238.060059,7295.240234,7281.100098
"1255",2018-04-23,7173.990234,7195.720215,7094.430176,7128.600098,7128.600098,1737370000,7128.600098,7007.350098,7003.740234,7118.680176,7119.799805,7066.27002,7075.6340822,0,0,7146.129883,7238.060059,7295.240234,7281.100098,7156.279785
"1254",2018-04-20,7220.640137,7222.990234,7123.490234,7146.129883,7146.129883,1921790000,7146.129883,7128.600098,7007.350098,7003.740234,7118.680176,7119.799805,7080.9000978,0,0,7238.060059,7295.240234,7281.100098,7156.279785,7106.649902
"1253",2018-04-19,7258.609863,7277.450195,7215.169922,7238.060059,7238.060059,1963950000,7238.060059,7146.129883,7128.600098,7007.350098,7003.740234,7118.680176,7104.7760744,0,0,7295.240234,7281.100098,7156.279785,7106.649902,7140.25
"1252",2018-04-18,7292.379883,7319.580078,7259.899902,7295.240234,7295.240234,1893220000,7295.240234,7238.060059,7146.129883,7128.600098,7007.350098,7003.740234,7163.0760744,0,0,7281.100098,7156.279785,7106.649902,7140.25,7069.029785
"1251",2018-04-17,7215.120117,7298.589844,7206.549805,7281.100098,7281.100098,1913230000,7281.100098,7295.240234,7238.060059,7146.129883,7128.600098,7007.350098,7217.8260744,7140.4970705,0,7156.279785,7106.649902,7140.25,7069.029785,7094.299805
